,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
3579,Dell,Inspiron3511,15.6,Black,1000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,758.99,1,0,0,0,0
3580,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,754.99,1,0,0,0,0
3581,Dell,Inspiron3511,15.6,Black,500.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,618.99,1,0,0,0,0
3582,Dell,Vostro3510,15.6,Black,1000.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,790.99,1,0,0,0,0
3583,Dell,Latitude3420,14.0,Black,256.0,Intel Core i7,16.0,Windows 10,Integrated,Unknown,,764.99,1,0,0,0,0
3584,Dell,Latitude3420,14.0,Black,1000.0,Intel Core i7,8.0,Windows 10,Integrated,Unknown,,840.99,1,0,0,0,0
3585,Dell,Vostro3510,15.6,Black,512.0,Intel Core i5,32.0,Windows 11,Integrated,Unknown,,773.99,1,0,0,0,0
3586,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,648.11,1,0,0,0,0
3587,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
3588,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
3589,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
3590,Dell,Latitude3520,15.6,Black,512.0,Intel Core i7,4.0,Windows 11,Integrated,Unknown,,1574.99,1,0,0,0,0
3592,Dell,Latitude5420,14.0,Black,256.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,841.99,1,0,0,0,0
3593,Dell,Latitude5420,14.0,Black,256.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,1751.99,1,0,0,0,0
3594,Dell,XPS9510,15.6,Silver,4000.0,Intel Core i7,16.0,Windows 10,Dedicated,Unknown,,3042.79,1,0,0,0,0
3597,Dell,Vostro3510,15.6,Black,512.0,Intel Core i7,16.0,Windows 11,Integrated,Unknown,,988.99,1,0,0,0,0
3598,Dell,Latitude5420,14.0,Black,128.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,764.99,1,0,0,0,0
3599,Dell,Latitude5420,14.0,Black,512.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,807.99,1,0,0,0,0
3601,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
3602,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
3603,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
3604,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3605,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
3606,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
3607,Dell,Latitude5420,14.0,Black,512.0,Intel Core i7,32.0,Windows 11,Integrated,Unknown,,1053.99,1,0,0,0,0
3608,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,813.99,1,0,0,0,0
3609,Dell,Latitude3520,15.6,Black,2000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,1138.5,1,0,0,0,0
3610,Dell,Latitude3520,15.6,Black,512.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,915.52,1,0,0,0,0
3611,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,784.64,1,0,0,0,0
3612,Dell,Latitude3520,15.6,Black,2000.0,Intel Core i7,16.0,Windows 10,Integrated,Unknown,,1720.99,1,0,0,0,0
3613,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3614,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
